name,radius,distance
Jupiter,10.97,0
Saturn,9.14,0
Uranus,3.98,0
Neptune,3.86,0
Earth,1,0
Venus,0.950,0
Mars,0.532,0
Mercury,0.383,0
Pluto,0.181,0
11 Com b,12.64,110.60
11 UMi b,12.89,119.50
14 And b,13.18,76.40
14 Her b,13.24,18.10
16 Cyg B b,13.69,21.41
18 Del b,12.90,73.10
1RXS1609 b,19.04,145.00
24 Sex b,13.62,74.80
24 Sex c,13.99,74.80
2M 0103(AB) b,12.74,47.20
2M 0122-2439 b,12.74,36.00
2M 044144 b,13.04,140.00
2M 0746+20 b,10.86,12.21
2M 2140+16 b,10.30,25.00
2M 2206-20 b,14.56,26.67
2M1207 b,13.31,52.40
30 Ari B b,12.92,39.40
4 Uma b,13.06,78.50
42 Dra b,13.32,97.30
47 Uma b,13.51,13.97
47 Uma c,14.21,13.97
47 Uma d,13.70,13.97
51 Peg b,14.28,14.70
55 Cnc b,14.03,12.34
55 Cnc c,8.48,12.34
55 Cnc d,13.33,12.34
55 Cnc e,1.99,12.34
55 Cnc f,7.75,12.34
6 Lyn b,13.53,56.90
61 Vir b,1.89,8.52
61 Vir c,4.63,8.52
61 Vir d,5.26,8.52
7 CMa b,13.50,19.75
70 Vir b,13.09,22.00
75 Cet b,13.37,81.50
81 Cet b,13.19,97.20
91 Aqr b,13.41,45.90
AB Pic b,12.79,47.30
alf Ari b,13.66,20.20
alf Cen B b,1.10,1.30
BD +48 738 b,13.90,
BD+15 2940 b,13.81,585.00
BD+20 274 c,13.22,
BD-061339 b,3.29,20.00
BD-061339 c,9.22,20.00
BD-082823 b,4.04,42.20
BD-082823 c,14.44,42.20
BD-10 3166 b,14.26,66.00
BD-17 63 b,13.20,34.60
BD14 4559 b,13.75,50.00
BD20 2457 b,12.60,200.00
BD20 2457 c,12.82,200.00
beta Pic b,13.07,19.30
CD-35 2722 b,12.44,21.30
CFBDS 1458 b,13.10,23.10
CHXR 73 b,12.78,
CoRoT-1 b,16.69,460.00
CoRoT-10 b,10.86,345.00
CoRoT-11 b,16.02,560.00
CoRoT-12 b,16.13,1150.00
CoRoT-13 b,9.91,1310.00
CoRoT-14 b,12.21,1340.00
CoRoT-16 b,13.10,840.00
CoRoT-17 b,11.42,920.00
CoRoT-18 b,14.67,870.00
CoRoT-19 b,14.45,800.00
CoRoT-2 b,16.41,300.00
CoRoT-20 b,9.41,1230.00
CoRoT-21 b,14.56,
CoRoT-23 b,12.10,600.00
CoRoT-25 b,12.10,1000.00
CoRoT-26 b,14.11,1670.00
CoRoT-3 b,11.31,680.00
CoRoT-4 b,13.33,
CoRoT-5 b,14.90,400.00
CoRoT-6 b,13.06,
CoRoT-7 b,1.67,150.00
CoRoT-7 c,2.43,150.00
CoRoT-8 b,6.37,380.00
CoRoT-9 b,10.53,460.00
CT Cha b,24.64,165.00
DH Tau b,12.81,
DP Leo b,13.07,
eps CrB b,13.02,67.90
eps Eridani b,13.73,3.20
eps Tau b,13.03,45.00
Fomalhaut b,13.61,7.70
FU Tau b,12.74,140.00
gamma 1 Leo b,12.97,38.50
gamma Cephei b,13.65,13.79
GJ 1214 b,2.67,13.00
GJ 163 b,3.71,15.00
GJ 163 c,2.43,15.00
Gj 163 d,5.58,15.00
GJ 176 b,2.43,9.42
GJ 3021 b,13.38,17.62
GJ 317 b,13.66,15.10
GJ 317 c,13.61,15.10
GJ 328 b,13.49,19.80
GJ 3470 b,4.19,30.70
GJ 3634 b,2.20,19.80
GJ 433 b,2.01,9.04
GJ 433 c,7.63,9.04
GJ 436 b,4.09,10.20
GJ 504 b,13.24,17.56
GJ 667C b,1.95,7.23
GJ 667C c,1.74,7.23
GJ 667C d,2.19,7.23
GJ 667C e,1.52,7.23
GJ 667C f,1.52,7.23
GJ 667C g,1.93,7.23
GJ 674 b,3.62,4.54
GJ 676A b,13.21,16.45
GJ 676A c,13.37,16.45
GJ 676A d,1.90,16.45
GJ 676A e,3.87,16.45
GJ 832 b,14.13,4.94
GJ 849 b,13.97,9.10
GJ 849 c,13.98,9.10
Gl 179 b,14.02,12.30
Gl 581 b,4.29,6.21
Gl 581 c,1.94,6.21
Gl 581 d,2.05,6.21
Gl 581 e,1.27,6.21
Gl 649 b,14.44,10.34
Gl 649 c,3.49,10.34
Gl 86 b,13.31,10.90
Gliese 876 b,13.56,4.70
Gliese 876 c,14.08,4.70
Gliese 876 d,2.15,4.70
Gliese 876 e,4.09,4.70
GQ Lup b,20.16,140.00
GSC 06214-00210 b,12.69,145.00
HAT-P-1 b,14.77,139.00
HAT-P-11 b,4.73,38.00
HAT-P-12 b,10.69,142.50
HAT-P-13 b,14.34,214.00
HAT-P-13 c,12.76,214.00
HAT-P-14 b,13.44,205.00
HAT-P-15 b,12.01,190.00
HAT-P-16 b,14.44,235.00
HAT-P-17 b,11.31,90.00
HAT-P-17 c,13.77,90.00
HAT-P-18 b,11.09,166.00
HAT-P-19 b,12.68,215.00
HAT-P-2 b,10.65,118.00
HAT-P-20 b,9.71,70.00
HAT-P-21 b,11.47,254.00
HAT-P-22 b,12.10,82.00
HAT-P-23 b,15.32,393.00
HAT-P-24 b,13.91,306.00
HAT-P-25 b,13.33,297.00
HAT-P-26 b,6.32,134.00
HAT-P-27-WASP-40 b,11.82,204.00
HAT-P-28 b,13.57,395.00
HAT-P-29 b,12.40,322.00
HAT-P-3 b,9.26,130.00
HAT-P-30-WASP-51 b,15.01,193.00
HAT-P-31 b,11.98,354.00
HAT-P-32 b,22.81,320.00
HAT-P-33 b,20.46,419.00
HAT-P-34 b,12.40,257.00
HAT-P-35 b,14.92,535.00
HAT-P-36 b,14.16,317.00
HAT-P-37 b,13.19,411.00
HAT-P-38 b,9.24,249.00
HAT-P-39 b,17.60,642.00
HAT-P-4 b,14.22,310.00
HAT-P-40 b,19.38,501.00
HAT-P-41 b,17.12,311.00
HAT-P-42 b,14.30,447.00
HAT-P-43 b,14.37,543.00
HAT-P-44 b,14.34,374.00
HAT-P-44 c,13.65,374.00
HAT-P-45 b,15.97,305.00
HAT-P-46 b,14.38,296.00
HAT-P-46 c,13.55,296.00
HAT-P-5 b,14.02,340.00
HAT-P-6 b,14.90,200.00
HAT-P-7 b,15.92,320.00
HAT-P-8 b,16.80,230.00
HAT-P-9 b,15.68,480.00
HATS-1 b,14.58,303.00
HATS-2 b,13.08,360.00
HATS-3 b,15.47,453.00
HD 100655 b,13.69,122.00
HD 100777 b,13.86,52.80
HD 10180 c,3.85,39.40
HD 10180 d,3.62,39.40
HD 10180 e,5.54,39.40
HD 10180 f,5.39,39.40
HD 10180 g,5.06,39.40
HD 10180 h,9.38,39.40
HD 101930 b,11.69,30.49
HD 102117 b,8.56,42.00
HD 102195 b,14.30,28.98
HD 102272 b,13.14,360.00
HD 102272 c,13.50,360.00
HD 102329 b,13.14,158.00
HD 102365 b,4.29,9.24
HD 102956 b,13.94,126.00
HD 103197 b,6.25,49.30
HD 103774 b,14.32,55.00
HD 104067 b,8.95,20.80
HD 104985 b,13.11,102.00
HD 106252 b,13.03,37.44
HD 106270 b,12.87,84.90
HD 10647 b,13.96,17.30
HD 106515A b,12.87,35.20
HD 10697 b,13.11,32.56
HD 107148 b,9.57,51.30
HD 108147 b,10.81,38.57
HD 108863 b,13.50,139.00
HD 108874 b,13.79,68.50
HD 108874 c,13.92,68.50
HD 109246 b,14.05,65.60
HD 109271 b,4.85,62.00
HD 109271 c,5.87,62.00
HD 109749 b,11.25,59.00
HD 110014 b,12.87,90.00
HD 111232 b,13.08,29.00
HD 113337 b,13.40,36.90
HD 113538 b,11.02,15.80
HD 113538 c,14.08,15.80
HD 114386 b,13.83,28.00
HD 114386 c,13.78,28.00
HD 114729 b,14.01,35.00
HD 114762 b,12.87,39.46
HD 114783 b,13.93,20.40
HD 11506 b,13.37,53.82
HD 11506 c,14.02,53.82
HD 116029 b,13.59,123.20
HD 117207 b,13.60,33.00
HD 117618 b,8.73,38.00
HD 117618 c,10.10,38.00
HD 118203 b,13.59,88.60
HD 11964 b,14.14,33.98
HD 11964 c,5.54,33.98
HD 11977 b,13.09,66.50
HD 120084 b,13.19,97.70
HD 121504 b,13.84,44.37
HD 122430 b,13.34,135.00
HD 125595 b,3.89,27.40
HD 125612 b,13.43,52.82
HD 125612 c,4.66,52.82
HD 125612 d,13.05,52.82
HD 126525 b,9.93,38.10
HD 12661 b,13.55,37.16
HD 12661 c,13.72,37.16
HD 126614 b,14.37,72.40
HD 128311 b,13.57,16.60
HD 128311 c,13.40,16.60
HD 129445 b,13.71,67.61
HD 130322 b,13.92,30.00
HD 131496 b,13.57,110.00
HD 13189 b,12.77,185.00
HD 132406 b,13.16,71.00
HD 132563B b,13.75,96.00
HD 134060 b,3.52,24.20
HD 134060 c,7.95,24.20
HD 134606 b,2.57,26.50
HD 134606 c,3.69,26.50
HD 134606 d,7.03,26.50
HD 134987 b,13.72,22.20
HD 134987 c,14.02,22.20
HD 136352 b,1.92,14.80
HD 136352 c,3.56,14.80
HD 136352 d,3.22,14.80
HD 136418 b,13.61,98.20
HD 137388 b,9.90,38.00
HD 13808 b,3.37,28.60
HD 13808 c,3.57,28.60
HD 13908 b,13.93,71.20
HD 13908 c,13.14,71.20
HD 13931 b,13.64,44.20
HD 139357 b,12.92,121.40
HD 141937 b,12.93,33.46
HD 142 b,13.82,20.60
HD 142 c,13.19,20.60
HD 142022 A b,13.20,35.87
HD 142245 b,13.64,109.50
HD 142415 b,13.71,34.20
HD 143361 b,13.42,59.35
HD 145377 b,13.15,57.70
HD 145457 b,13.45,126.00
HD 1461 b,2.30,23.40
HD 1461 c,2.03,23.40
HD 147018 b,13.59,42.96
HD 147018 c,13.09,42.96
HD 147513 b,13.84,12.90
HD 148156 b,14.00,53.05
HD 148427 b,13.94,59.30
HD 149026 b,8.04,78.90
HD 149143 b,13.79,63.00
HD 1502 b,13.42,159.00
HD 150433 b,8.45,29.60
HD 150706 b,13.48,27.20
HD 152079 b,13.43,85.17
HD 152581 b,13.74,186.00
HD 153950 b,13.48,49.60
HD 154088 b,2.06,17.80
HD 154345 b,13.93,18.06
HD 154672 b,13.21,65.80
HD 154857 b,13.66,68.50
HD 155358 b,14.00,43.00
HD 155358 c,14.02,43.00
HD 156279 b,12.93,36.60
HD 156411 b,14.06,55.10
HD 156668 b,1.72,24.50
HD 157172 b,7.00,31.90
HD 158038 b,13.66,103.60
HD 159243 b,13.81,69.20
HD 159243 c,13.57,69.20
HD 159868 b,13.59,52.70
HD 159868 c,14.07,52.70
HD 16141 b,9.70,35.90
HD 16175 b,13.27,59.80
HD 162020 b,12.76,31.26
HD 163607 b,14.05,69.00
HD 163607 c,13.55,69.00
HD 16417 b,5.13,25.50
HD 164509 b,14.26,52.00
HD 164604 b,13.48,38.00
HD 164922 b,14.40,21.93
HD 166724 b,13.30,42.30
HD 167042 b,13.71,50.00
HD 168443 b,13.03,37.38
HD 168443 c,12.69,37.38
HD 168746 b,10.07,43.12
HD 1690 b,13.12,319.00
HD 169830 b,13.45,36.32
HD 169830 c,13.30,36.32
HD 170469 b,14.11,64.97
HD 17092 b,13.25,109.00
HD 171028 b,13.62,90.00
HD 171238 b,13.50,50.28
HD 17156 b,12.26,78.24
HD 173416 b,13.48,135.00
HD 175167 b,13.02,67.02
HD 175541 b,14.15,128.00
HD 176051 b,13.74,14.99
HD 177830 b,13.75,59.00
HD 177830 c,7.93,59.00
HD 178911 B b,13.11,46.73
HD 179079 b,5.58,63.69
HD 179949 b,13.95,27.00
HD 180314 b,12.58,132.00
HD 180902 b,13.71,110.00
HD 181342 b,13.39,110.60
HD 181433 b,2.30,26.15
HD 181433 c,14.13,26.15
HD 181433 d,14.21,26.15
HD 181720 b,14.39,56.00
HD 183263 b,13.35,53.00
HD 183263 c,13.33,53.00
HD 185269 b,13.95,47.00
HD 187085 b,14.06,44.98
HD 187123 b,14.23,50.00
HD 187123 c,13.62,50.00
HD 18742 b,13.48,135.00
HD 188015 b,13.82,52.60
HD 189567 b,3.32,17.70
HD 189733 b,12.75,19.30
HD 190360 b,13.74,15.89
HD 190360 c,4.61,15.89
HD 190647 b,13.64,54.20
HD 190984 b,13.42,103.00
HD 192263 b,14.07,19.90
HD 192310 b,4.43,8.82
HD 192310 c,5.38,8.82
HD 192699 b,13.51,67.00
HD 195019 b,13.34,37.36
HD 196050 b,13.46,46.90
HD 196067 b,13.01,44.30
HD 196885 A b,13.44,33.00
HD 197037 b,14.03,33.00
HD 19994 b,13.69,22.38
HD 20003 b,3.67,43.80
HD 20003 c,3.90,43.80
HD 200964 b,13.65,68.40
HD 200964 c,13.97,68.40
HD 202206 b,12.68,46.34
HD 202206 c,13.52,46.34
HD 20367 b,13.90,27.00
HD 2039 b,13.22,89.80
HD 204313 b,13.36,47.37
HD 204313 c,4.48,47.37
HD 204313 d,13.69,47.37
HD 204941 b,10.93,27.00
HD 205739 b,13.78,90.30
HD 206610 b,13.57,194.00
HD 20781 b,3.67,35.40
HD 20781 c,4.27,35.40
HD 20782 b,13.64,36.02
HD 207832 b,14.13,54.40
HD 207832 c,14.00,54.40
HD 20794 b,1.44,6.06
HD 20794 c,1.38,6.06
HD 20794 d,1.83,6.06
HD 208487 b,14.34,45.00
HD 208527 b,12.86,320.20
HD 20868 b,13.62,48.90
HD 209458 b,15.46,47.00
HD 210277 b,13.83,21.29
HD 210702 b,13.64,56.00
HD 212301 b,14.30,52.70
HD 212771 b,13.55,131.00
HD 213240 b,13.26,40.75
HD 215152 b,1.45,21.50
HD 215152 c,1.52,21.50
HD 215456 b,6.35,38.00
HD 215456 c,10.46,38.00
HD 215497 b,2.10,44.00
HD 215497 c,14.44,44.00
HD 216435 b,13.82,33.30
HD 216437 b,13.66,26.50
HD 216770 b,14.12,38.00
HD 21693 b,3.35,32.40
HD 21693 c,4.95,32.40
HD 217107 b,13.80,19.72
HD 217107 c,13.52,19.72
HD 217786 b,12.80,54.80
HD 218566 b,9.57,29.94
HD 219077 b,12.84,29.35
HD 219415 b,13.86,
HD 219828 b,5.01,81.10
HD 220074 b,12.81,290.20
HD 220689 b,13.83,44.60
HD 220773 b,13.76,49.00
HD 221287 b,13.42,52.90
HD 222155 b,13.64,49.10
HD 222582 b,13.02,42.00
HD 224693 b,14.08,94.00
HD 22781 b,12.78,31.79
HD 23079 b,13.51,34.80
HD 23127 b,13.74,89.10
HD 231701 b,13.89,108.40
HD 233604 b,13.03,
HD 23596 b,13.00,52.00
HD 240210 b,13.07,143.00
HD 240237 b,13.19,1500.00
HD 24040 b,13.31,46.51
HD 25171 b,13.95,55.00
HD 2638 b,14.26,53.71
HD 27442 b,13.79,18.10
HD 27631 b,13.69,45.50
HD 27894 b,14.15,42.37
HD 28185 b,13.15,39.40
HD 28254 b,13.86,56.20
HD 285507 b,13.90,41.30
HD 28678 b,13.69,227.00
HD 290327 b,13.51,54.90
HD 2952 b,13.65,115.20
HD 30177 b,13.02,55.00
HD 30562 b,13.81,26.50
HD 30856 b,13.66,118.10
HD 31253 b,14.25,53.82
HD 31527 b,3.58,38.60
HD 31527 c,4.28,38.60
HD 31527 d,4.38,38.60
HD 32518 b,13.43,117.40
HD 330075 b,14.15,50.20
HD 33142 b,13.81,126.00
HD 33283 b,14.44,86.00
HD 33564 b,12.95,20.98
HD 34445 b,14.03,46.50
HD 3651 b,9.32,11.00
HD 3651 c,6.46,11.00
HD 37124 b,14.11,33.00
HD 37124 c,14.12,33.00
HD 37124 d,14.09,33.00
HD 37605 b,13.46,44.00
HD 37605 c,13.32,44.00
HD 38283 b,14.43,37.70
HD 38529 b,14.04,39.28
HD 38529 c,12.67,39.28
HD 38801 b,12.89,99.40
HD 38858 b,6.18,15.20
HD 39091 b,12.90,18.32
HD 39194 b,1.64,25.90
HD 39194 c,2.03,25.90
HD 39194 d,1.90,25.90
HD 40307 b,1.69,12.80
HD 40307 c,2.14,12.80
HD 40307 d,3.21,12.80
HD 40307 e,1.70,12.80
HD 40307 f,2.04,12.80
HD 40307 g,2.39,12.80
HD 40979 b,13.39,33.30
HD 41004 A b,13.51,42.50
HD 41004 B b,12.66,43.03
HD 4113 b,13.72,44.00
HD 41248 b,4.03,52.38
HD 41248 c,3.30,52.38
HD 4203 b,13.60,77.50
HD 4208 b,14.03,33.90
HD 4308 b,3.81,21.90
HD 4313 b,13.55,137.00
HD 43197 b,14.16,54.90
HD 43691 b,13.52,93.20
HD 44219 b,14.18,50.43
